what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1541635087198
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1541635087198
started,bundle,org.eclipse.equinox.p2.touchpoint.natives,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.natives",1541635087198
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1541635087198
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1541635087198
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1541635087198
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.updatesite",1541635087198
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1541635087198
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1541635087198
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1541635087198
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1541635087198
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1541635087198
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1541635087198
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1541635087198
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1541635087198
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1541635087198
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1541635087198
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1541635087198
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1541635087198
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1541635087198
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1541635087198
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1541635087198
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1541635087198
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1541635087198
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1541635087198
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1541635087198
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1541635087198
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1541635087198
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1541635087198
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1541635087198
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1541635087198
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1541635087198
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1541635087198
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1541635087198
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1541635087198
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1541635087198
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1541635087198
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1541635087198
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1541635087198
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1541635087198
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1541635087198
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1541635087198
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1541635087198
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1541635087198
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1541635087198
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1541635087198
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1541635087198
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1541635087198
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1541635087198
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1541635087198
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1541635087198
os,sysinfo,,,"win32",1541635087213
arch,sysinfo,,,"x86",1541635087213
ws,sysinfo,,,"win32",1541635087213
locale,sysinfo,,,"en_GB",1541635087213
processors,sysinfo,,,"4",1541635087213
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1541635087213
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1541635087213
java.specification.name,sysinfo,,,"Java Platform API Specification",1541635087213
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1541635087213
java.specification.version,sysinfo,,,"1.6",1541635087213
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1541635087213
java.version,sysinfo,,,"1.6.0_23",1541635087213
java.vm.info,sysinfo,,,"mixed mode",1541635087213
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1541635087213
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1541635087213
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1541635087213
java.vm.specification.version,sysinfo,,,"1.0",1541635087213
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1541635087213
java.vm.version,sysinfo,,,"19.0-b09",1541635087213
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1541635087856
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1541635087886
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1541635088254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541635089425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541635089488
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1541635089927
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1541635095172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1541635107846
